capitald;Asia;Africa;North America;South America;Oceania;Europe;continentName;grandeTaille;petiteTaille;grandeTaille;petiteTaille;avgTaille;beaucoupPeuple;peuPeuple;beaucoupPeuple;peuPeuple;avgPopulation;Riviere;Altitudes;Altitude;continental;costal;tempContinental;desertique;polaire;tropical;tempere;metro;touristique;Gratte-ciel
Beijing;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;true;false;44;true;false;false;false;false;false;true;true;true;true
New Delhi;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;false;true;210;true;false;false;false;false;false;true;false;false;false
Washington;false;false;true;false;false;false;North America;true;false;true;false;grand;true;false;true;false;grand;false;false;0;true;false;false;false;false;false;true;true;true;false
Jakarta;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;false;false;3;false;true;false;false;false;true;false;false;false;true
BrasÇğlia;false;false;false;true;false;false;South America;true;false;true;false;grand;true;false;true;false;grand;false;true;1172;true;false;false;false;false;true;false;true;true;false
Islamabad;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;false;true;507;true;false;false;false;false;false;true;false;false;false
Dhaka;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;true;false;3;true;false;false;false;false;true;false;true;true;false
Abuja;false;true;false;false;false;false;Africa;true;false;true;false;grand;true;false;true;false;grand;false;true;777;true;false;false;false;false;true;false;false;false;false
Moscow;false;false;false;false;false;true;Europe;true;false;true;false;grand;true;false;true;false;grand;true;false;124;true;false;true;false;false;false;false;true;true;true
Tokyo;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;true;false;17;true;false;false;false;false;false;true;false;false;true
Mexico;false;false;true;false;false;false;North America;true;false;true;false;grand;true;false;true;false;grand;false;true;2240;true;false;false;false;false;false;true;true;true;true
Manille;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;true;false;7;false;true;false;false;false;true;false;false;false;false
HanoiBis;true;false;false;false;false;false;Asia;false;true;false;true;petit;true;false;true;false;grand;true;false;25;true;false;false;false;false;false;true;true;true;false
Hanoi;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;true;false;25;true;false;false;false;false;false;true;true;true;false
Addis Ababa;false;true;false;false;false;false;Africa;true;false;true;false;grand;true;false;true;false;grand;false;true;2355;true;false;false;false;false;false;true;false;false;false
Berlin;false;false;false;false;false;true;Europe;true;false;true;false;grand;true;false;true;false;grand;false;false;34;true;false;false;false;false;false;true;true;true;false
Cairo;false;true;false;false;false;false;Africa;true;false;true;false;grand;true;false;true;false;grand;true;false;22;true;false;false;true;false;false;false;false;false;false
Ankara;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;false;true;938;true;false;true;false;false;false;false;true;true;true
Tehran;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;false;true;1138;true;false;false;true;false;false;false;false;false;false
Kinshasa;false;true;false;false;false;false;Africa;true;false;true;false;grand;true;false;true;false;grand;true;true;240;true;false;false;false;false;true;false;true;true;false
Bangkok;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;true;false;1;false;true;false;false;false;true;false;false;false;true
Paris;false;false;false;false;false;true;Europe;true;false;true;false;grand;true;false;true;false;grand;true;false;34;true;false;false;false;false;false;true;true;true;false
London;false;false;false;false;false;true;Europe;true;false;true;false;grand;true;false;true;false;grand;true;false;14;true;false;false;false;false;false;true;false;false;true
Rome;false;false;false;false;false;true;Europe;true;false;true;false;grand;true;false;true;false;grand;true;false;14;true;false;false;false;false;false;true;true;true;false
Naypyitaw;true;false;false;false;false;false;Asia;true;false;true;false;grand;true;false;true;false;grand;true;false;115;true;false;false;false;false;true;false;false;false;false
Djibouti;false;true;false;false;false;false;Africa;false;true;false;true;petit;false;true;false;true;petit;false;false;0;false;true;false;true;false;false;false;true;true;false
Manama;true;false;false;false;false;false;Asia;false;true;false;true;petit;false;true;false;true;petit;false;false;6;false;true;false;true;false;false;false;false;false;true
Thimphu;true;false;false;false;false;false;Asia;false;true;false;true;petit;false;true;false;true;petit;false;true;2648;true;false;false;false;false;false;true;true;true;false
Podgorica;false;false;false;false;false;true;Europe;false;true;false;true;petit;false;true;false;true;petit;true;false;61;true;false;false;false;false;false;true;false;false;false
Honiara;false;false;false;false;true;false;Oceania;false;true;false;true;petit;false;true;false;true;petit;false;false;29;false;true;false;false;false;true;false;true;true;false
Praia;false;true;false;false;false;false;Africa;false;true;false;true;petit;false;true;false;true;petit;false;false;0;false;true;false;true;false;false;false;false;false;false
Luxembourg;false;false;false;false;false;true;Europe;false;true;false;true;petit;false;true;false;true;petit;true;true;273;true;false;false;false;false;false;true;true;true;false
Paramaribo;false;false;false;true;false;false;South America;true;false;true;false;grand;false;true;false;true;petit;false;false;1;false;true;false;false;false;true;false;false;false;false
